ka,hi,en
会う,あう,to meet
青,あお,blue
青い,あおい,blue
赤,あか,red
赤い,あかい,red
明い,あかるい,bright
秋,あき,autumn
開く,あく,"to open, to become open"
開ける,あける,to open
上げる,あげる,to give
朝,あさ,morning
朝御飯,あさごはん,breakfast
,あさって,day after tomorrow
足,あし,"foot, leg"
明日,あした,tomorrow
,あそこ,over there
遊ぶ,あそぶ,"to play, to make a visit"
暖かい,あたたかい,warm
頭,あたま,head
新しい,あたらしい,new
,あちら,there
暑い,あつい,hot
熱い,あつい,hot to the touch
厚い,あつい,"kind, deep, thick"
,あっち,over there
後,あと,afterwards
,あなた,you
兄,あに,(humble) older brother
姉,あね,(humble) older sister
,あの,that over there
,あの,um...
,アパート,apartment
,あびる,"to bathe, to shower"
危ない,あぶない,dangerous
甘い,あまい,sweet
,あまり,not very
雨,あめ,rain
飴,あめ,candy
洗う,あらう,to wash
,ある,"to be,to have (used for inanimate objects)"
歩く,あるく,to walk
,あれ,that
