ka,hi,en
,いい/よい,good
,いいえ,no
言う,いう,to say
家,いえ,house
,いかが,how
行く,いく,to go
,いくつ,"how many?,how old?"
,いくら,how much?
池,いけ,pond
医者,いしゃ,medical doctor
,いす,chair
忙しい,いそがしい,"busy, irritated"
痛い,いたい,painful
一,いち,one
一日,いちにち,first of the month
,いちばん,"best, first"
,いつ,when
五日,いつか,"five days, fifth day"
一緒,いっしょ,together
五つ,いつつ,five
,いつも,always
犬,いぬ,dog
今,いま,now
意味,いみ,meaning
妹,いもうと,(humble) younger sister
嫌,いや,unpleasant
入口,いりぐち,entrance
居る,いる,"to be, to have (used for people and animals)"
要る,いる,to need
入れる,いれる,to put in
色,いろ,colour
,いろいろ,various
