ka,hi,en
木,き,"tree, wood"
黄色,きいろ,yellow
黄色い,きいろい,yellow
消える,きえる,to disappear
聞く,きく,"to hear, to listen to, to ask"
北,きた,North
,ギター,Guitar
汚い,きたない,Dirty
喫茶店,きっさてん,coffee lounge
切手,きって,postage stamp
切符,きっぷ,Ticket
昨日,きのう,Yesterday
九,きゅう / く,Nine
牛肉,ぎゅうにく,Beef
牛乳,ぎゅうにゅう,Milk
今日,きょう,Today
教室,きょうしつ,Classroom
兄弟,きょうだい,(humble) siblings
去年,きょねん,last year
嫌い,きらい,Hate
切る,きる,to cut
着る,きる,to put on from the shoulders down
,きれい,"pretty, clean"
,キロ/キログラム,Kilogram
,キロ/キロメートル,Kilometer
銀行,ぎんこう,Bank
金曜日,きんようび,Friday
