ka,hi,en
五,ご,Five
公園,こうえん,Park
交差点,こうさてん,intersection
紅茶,こうちゃ,black tea
交番,こうばん,police box
声,こえ,Voice
,コート,"coat, tennis court"
,コーヒー,Coffee
,ここ,Here
午後,ごご,afternoon
九日,ここのか,"nine days, ninth day"
九つ,ここのつ,Nine
午前,ごぜん,morning
答える,こたえる,to answer
,こちら,this person or way
,こっち,this person or way
,コップ,a glass
今年,ことし,this year
言葉,ことば,"word, language"
子供,こども,Child
,この,This
御飯,ごはん,"cooked rice, meal"
,コピーする,to copy
困る,こまる,to be worried
,これ,This
今月,こんげつ,this month
今週,こんしゅう,this week
,こんな,Such
今晩,こんばん,this evening
