ka,hi,en
四,し / よん,Four
塩,しお,Salt
,しかし,However
時間,じかん,Time
仕事,しごと,Job
辞書,じしょ,Dictionary
静か,しずか,Quiet
下,した,Below
七,しち / なな,Seven
質問,しつもん,Question
自転車,じてんしゃ,Bicycle
自動車,じどうしゃ,Automobile
死ぬ,しぬ,to die
字引,じびき,Dictionary
自分,じぶん,Oneself
閉まる,しまる,"to close, to be closed"
閉める,しめる,to close something
締める,しめる,to tie
,じゃ/じゃあ,well then…
写真,しゃしん,photograph
,シャツ,Shirt
,シャワー,Shower
十,じゅう とお,Ten
授業,じゅぎょう,"lesson, class work"
宿題,しゅくだい,homework
上手,じょうず,Skillful
丈夫,じょうぶ,"strong, durable"
,しょうゆ,soy sauce
食堂,しょくどう,dining hall
知る,しる,to know
白,しろ,White
白い,しろい,White
新聞,しんぶん,newspaper
