ka,hi,en
戸,と,Japanese style door
,ドア,Western style door
,トイレ,toilet
,どう,"how,in what way"
,どうして,for what reason
,どうぞ,please
動物,どうぶつ,animal
,どうも,thanks
遠い,とおい,far
十日,とおか,"ten days,the tenth day"
時々,ときどき,sometimes
時計,とけい,"watch,clock"
,どこ,where
所,ところ,place
年,とし,year
図書館,としょかん,library
,どちら,which of two
,どっち,which
,とても,very
,どなた,who
隣,となり,next door to
,どの,which
飛ぶ,とぶ,"to fly,to hop"
止まる,とまる,to come to a halt
友達,ともだち,friend
土曜日,どようび,Saturday
鳥,とり,bird
とり肉,とりにく,chicken meat
取る,とる,to take something
撮る,とる,to take a photo or record a film
,どれ,which (of three or more)
