ka,hi,en
,おいしい,delicious
多い,おおい,many
大きい,おおきい,big
大きな,おおきな,big
大勢,おおぜい,great number of people
お母さん,おかあさん,(honorable) mother
お菓子,おかし,"sweets, candy"
お金,おかね,money
起きる,おきる,to get up
置く,おく,to put
奥さん,おくさん,(honorable) wife
お酒,おさけ,"alcohol, rice wine"
お皿,おさら,"plate, dish"
伯父/叔父,おじいさん,"grandfather, male senior citizen"
教える,おしえる,"to teach, to tell"
伯父/叔父,おじさん,"uncle, middle aged gentleman"
押す,おす,"to push, to stamp something"
遅い,おそい,"late, slow"
お茶,おちゃ,green tea
お手洗い,おてあらい,bathroom
お父さん,おとうさん,(honorable) father
弟,おとうと,younger brother
男,おとこ,Man
男の子,おとこのこ,Boy
一昨日,おととい,day before yesterday
一昨年,おととし,year before last
大人,おとな,Adult
,おなか,stomach
同じ,おなじ,same
お兄さん,おにいさん,(honorable) older brother
お姉さん,おねえさん,(honorable) older sister
,おばあさん,"grandmother, female senior-citizen"
伯母さん/叔母さん,おばさん,Aunt
お風呂,おふろ,Bath
お弁当,おべんとう,boxed lunch
覚える,おぼえる,to remember
,おまわりさん,friendly term for policeman
重い,おもい,Heavy
,おもしろい,Interesting
泳ぐ,およぐ,to swim
降りる,おりる,"to get off, to descend"
終る,おわる,to finish
音楽,おんがく,Music
女,おんな,Woman
女の子,おんなのこ,Girl
